x, y, theta, stamp, 
0.7997869253158569, 0.7571927309036255, 0.8800091428910333, 1740698210178397066, 
0.80363529920578, 0.7617853283882141, 0.87639361793528, 1740698210258131838, 
0.8086583614349365, 0.7678030133247375, 0.8741841094512843, 1740698210367531707, 
0.813270092010498, 0.7731031179428101, 0.8734342124947604, 1740698210467639985, 
0.8177013993263245, 0.7785160541534424, 0.8714541182010875, 1740698210567503775, 
0.8219127058982849, 0.7833178043365479, 0.8708000117704983, 1740698210659108391, 
0.8263189196586609, 0.7888633012771606, 0.8709509050685024, 1740698210767591375, 
0.8303528428077698, 0.793770432472229, 0.873450415866976, 1740698210867505362, 
0.8348164558410645, 0.7987164258956909, 0.8760515610288248, 1740698210967712539, 
0.8390608429908752, 0.8038755655288696, 0.8782638521529019, 1740698211078312312, 
0.8423253297805786, 0.8079162836074829, 0.8819981781625289, 1740698211167518839, 
0.8460812568664551, 0.8125637173652649, 0.8831958516599818, 1740698211267667055, 
0.8499681949615479, 0.8171939253807068, 0.888257727814109, 1740698211368293670, 
0.853672444820404, 0.8216210603713989, 0.8898112471877597, 1740698211478062826, 
0.856723964214325, 0.8256665468215942, 0.8906881120367486, 1740698211567620682, 
0.8601238131523132, 0.8295146226882935, 0.8893356741755549, 1740698211668217692, 
0.8633677959442139, 0.8339371085166931, 0.8893356741756329, 1740698211767445579, 
0.8673168420791626, 0.8384526968002319, 0.8908445007777673, 1740698211877806907, 
0.8698698878288269, 0.8418311476707458, 0.890369788981209, 1740698211967494802, 
0.8726710677146912, 0.8452512621879578, 0.888429363563466, 1740698212067928822, 
0.8757118582725525, 0.849026083946228, 0.8864335154860599, 1740698212177335458, 
0.8785368800163269, 0.8526667952537537, 0.8864335154860599, 1740698212277881358, 
0.8810741901397705, 0.8555598855018616, 0.8856568635591622, 1740698212368403419, 
0.8836878538131714, 0.8587842583656311, 0.8842248628770233, 1740698212467393020, 
0.8861505389213562, 0.8618552088737488, 0.8823547034786112, 1740698212567450239, 
0.8891846537590027, 0.8652259111404419, 0.8823547034786112, 1740698212678299752, 
0.8913819789886475, 0.867974579334259, 0.8814403169834424, 1740698212769929439, 
0.8940464854240417, 0.871039092540741, 0.8814403169834424, 1740698212867380711, 
0.8963001370429993, 0.8740329742431641, 0.8814403169834424, 1740698212967515444, 
0.8984954953193665, 0.8767333626747131, 0.8823496973007869, 1740698213058317600, 
0.9012102484703064, 0.8799590468406677, 0.8823496973007869, 1740698213167404467, 
0.9034414887428284, 0.8827438950538635, 0.8823496973007869, 1740698213267422116, 
0.9056277275085449, 0.8854264616966248, 0.8823496973007869, 1740698213363654491, 
0.9081801772117615, 0.8883780241012573, 0.8830136032974844, 1740698213462945065, 
0.9106304049491882, 0.8912345170974731, 0.8852544222673608, 1740698213572637678, 
0.9124478101730347, 0.8934466242790222, 0.8844609418498434, 1740698213662595577, 
0.914581298828125, 0.8959894180297852, 0.8830445863373483, 1740698213762521779, 
0.9165733456611633, 0.8985143899917603, 0.8855472351795274, 1740698213878285016, 
0.918119490146637, 0.9004663825035095, 0.8855473088088123, 1740698213967417240, 
0.9200319647789001, 0.9027637839317322, 0.8857609018872079, 1740698214067414144, 
0.9223014116287231, 0.9054874181747437, 0.8861687042086765, 1740698214177366893, 
0.9236331582069397, 0.9072545170783997, 0.8870323507769478, 1740698214257886914, 
0.9256817102432251, 0.9096153974533081, 0.8882368380775487, 1740698214368199708, 
0.9275256991386414, 0.9119957089424133, 0.8868852260413451, 1740698214467434872, 
0.9294178485870361, 0.914178729057312, 0.8860299572166156, 1740698214563722022, 
0.9312759637832642, 0.9163984060287476, 0.8863967368883359, 1740698214657747634, 
0.9333833456039429, 0.9190756678581238, 0.8857758836441495, 1740698214767707980, 
0.9354711771011353, 0.9216103553771973, 0.8849759969631115, 1740698214867404457, 
0.937563419342041, 0.9241269826889038, 0.884387221056903, 1740698214977832739, 
0.9393768310546875, 0.9263795614242554, 0.8848392063752026, 1740698215078753286, 
0.9409855008125305, 0.9285121560096741, 0.8840832599090129, 1740698215168444391, 
0.9430259466171265, 0.9308317303657532, 0.8844069435859481, 1740698215267454661, 
0.944875180721283, 0.9331501722335815, 0.8842372453782944, 1740698215378261885, 
0.946772038936615, 0.9353781938552856, 0.8851884650232243, 1740698215478974005, 
0.948567807674408, 0.9375669956207275, 0.8850503774706878, 1740698215567421693, 
0.9504308700561523, 0.9397966861724854, 0.8842948325451765, 1740698215667439132, 
0.9522609114646912, 0.9418619275093079, 0.885451194810584, 1740698215768808874, 
0.9542770385742188, 0.9443395137786865, 0.8853176969564122, 1740698215875678032, 
0.9559745788574219, 0.9464800357818604, 0.884824784253853, 1740698215967573511, 
0.9578567743301392, 0.948773980140686, 0.8847881030497045, 1740698216067444625, 
0.9595279097557068, 0.9508376717567444, 0.8859108815216049, 1740698216165553721, 
0.9613157510757446, 0.9530345797538757, 0.8863568758921344, 1740698216257712957, 
0.9633692502975464, 0.9556268453598022, 0.886508031733558, 1740698216368310095, 
0.9651367664337158, 0.9577736258506775, 0.8863533164869712, 1740698216468447922, 
0.9669141173362732, 0.9599398374557495, 0.8871273921213293, 1740698216566822286, 
0.9688597917556763, 0.9625476598739624, 0.887547641973338, 1740698216677027776, 
