x, y, theta, stamp, 
6.910028105266974e-13, -2.842170943040401e-14, -1.9213059408437028e-10, 1740704670112083580, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.382379415520219e-07, 1740704670417143263, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.3823668363137823e-07, 1740704670467294260, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.382358392514039e-07, 1740704670525847590, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.382358392514039e-07, 1740704670576093229, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.38234686217709e-07, 1740704670627063627, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.3823372976259222e-07, 1740704670672179976, 
2.0707620507209867e-08, -2.384303243729846e-08, 2.3823372976259222e-07, 1740704670716042366, 
6.945555242054979e-13, -2.842170943040401e-14, -2.0028560553942575e-10, 1740704670765987840, 
6.945555242054979e-13, -2.842170943040401e-14, -2.0051299039799947e-10, 1740704670816246089, 
6.945555242054979e-13, -2.842170943040401e-14, -1.9984499866673852e-10, 1740704670867232726, 
6.945555242054979e-13, -2.842170943040401e-14, -1.9989851409169603e-10, 1740704670926020311, 
0.021247882395982742, 0.0011426189448684454, 0.05178188016973738, 1740704671677076960, 
0.04222141578793526, 0.0031206002458930016, 0.10410748834705842, 1740704671777048675, 
0.06804004311561584, 0.006647050846368074, 0.16839740995888922, 1740704671873054101, 
0.09601763635873795, 0.012607143260538578, 0.23536856129511408, 1740704671965998334, 
0.12861749529838562, 0.021712923422455788, 0.3185052324702204, 1740704672077377026, 
0.1572900414466858, 0.03216797485947609, 0.3959429105082578, 1740704672177093164, 
0.1846315562725067, 0.044380247592926025, 0.46799549017361936, 1740704672273080039, 
0.2099241018295288, 0.05808126926422119, 0.5428976881096947, 1740704672366006517, 
0.23833997547626495, 0.07660968601703644, 0.6189800751168171, 1740704672477636417, 
0.262812077999115, 0.09530149400234222, 0.6603653972457715, 1740704672576101900, 
0.28505003452301025, 0.1135750561952591, 0.6884158717395079, 1740704672673074497, 
0.3070184588432312, 0.13268119096755981, 0.7135248931398434, 1740704672767006523, 
0.3327319622039795, 0.1547250896692276, 0.7100264830255361, 1740704672876969049, 
0.355915367603302, 0.17357999086380005, 0.6920977978257528, 1740704672977250787, 
0.3784886598587036, 0.19154629111289978, 0.6874293872967717, 1740704673073082905, 
0.40078920125961304, 0.20941974222660065, 0.6800418596276949, 1740704673168012752, 
0.4243137240409851, 0.22877241671085358, 0.6778951536574024, 1740704673267354803, 
